id;nombre;piso;depto;codigo_pos;direccion;barrio;comuna;dias_y_hor;telefonos;email;web;actividad;depende;publico;sector;activ;lon;lat
11;Biblioteca CIRCE Libros Tesoro;1;;1014;TALCAHUANO 1261;Retiro;Comuna 1;Lunes a  Viernes de 9:00 a 16:00.;4812-1840, interno: 119;biblioteca_circe@buenosaires.gob.ar;http://www.buenosaires.gov.ar/areas/cultura/dg_libro;Biblioteca;Ministerio de Cultura - Dirección General del Libro, Bibliotecas y Promoción de la Lectura;General;Estado Municipal;;-58.3859;-34.5935978470343
12;Biblioteca Enrique Banchs (Biblioteca Infantil);;;1264;CASEROS AV. 3100;Parque Patricios;Comuna 4;Lunes a Viernes de 10:00 a 17:00.;4943-1078;biblioteca_banchs@buenosaires.gob.ar;http://www.buenosaires.gov.ar/areas/cultura/dg_libro;Biblioteca;Ministerio de Cultura - Dirección General del Libro, Bibliotecas y Promoción de la Lectura;Niños;Estado Municipal;;-58.4074;-34.637521315185
13;Biblioteca Estanislao del Campo;;;1424;DE LAS ARTES 1210;Parque Chacabuco;Comuna 7;Lunes a Viernes de 10:00 a 19:00.;4926-0101;bibliotecadelcampo@buenosaires.gob.ar;http://www.buenosaires.gov.ar/areas/cultura/dg_libro;Biblioteca;Ministerio de Cultura - Dirección General del Libro, Bibliotecas y Promoción de la Lectura;General;Estado Municipal;;-58.4383;-34.6340560500285
14;Biblioteca Evaristo Carriego (Casa de la Poesía);PB;;1180;HONDURAS 3784;Palermo;Comuna 14;Lunes a Viernes de 11:00 a 18:00.;4963-2194;biblioteca_carriego@buenosaires.gob.ar;http://www.buenosaires.gov.ar/areas/cultura/dg_libro;Biblioteca;Ministerio de Cultura - Dirección General del Libro, Bibliotecas y Promoción de la Lectura;General;Estado Municipal;;-58.4161;-34.5941458055346
15;Biblioteca Hilario Ascasubi;PB;;1407;DIAZ, CESAR, GRAL. 4219;Floresta;Comuna 10;Lunes a Viernes de 9:00 a 17:00.;4566-5171;biblioteca_ascasubi@buenosaires.gob.ar;http://www.buenosaires.gov.ar/areas/cultura/dg_libro;Biblioteca;Ministerio de Cultura - Dirección General del Libro, Bibliotecas y Promoción de la Lectura;General;Estado Municipal;;-58.4922;-34.6233404441824
16;Biblioteca Javier Villafañe (con anexo infantil);Manzana 5 - Local 279;;1407;JANER, ANA MARIA y TORRES Y TENORIO, Pres.;Flores;Comuna 7;Lunes a Viernes de 9:00 a 16:00.;4919-0058;biblioteca_villafane@buenosaires.gob.ar;http://www.buenosaires.gov.ar/areas/cultura/dg_libro;Biblioteca;Ministerio de Cultura - Dirección General del Libro, Bibliotecas y Promoción de la Lectura;General;Estado Municipal;;-58.4364;-34.648143050905
17;Biblioteca Joaquín V. González (con anexo infantil);;;1162;SUAREZ 408;Boca;Comuna 4;Lunes a Viernes de 9:00 a 18:00.;4302-2481;biblioteca_gonzalez@buenosaires.gov.ar;http://www.buenosaires.gov.ar/areas/cultura/dg_libro;Biblioteca;Ministerio de Cultura - Dirección General del Libro, Bibliotecas y Promoción de la Lectura;General;Estado Municipal;;-58.359;-34.6354244874651
18;Biblioteca José Hernández;;;1408;BOQUERON 6753;Liniers;Comuna 9;Lunes a Viernes de 10:00 a 17:00.;4641-3676/3673;biblioteca-josehernandez@buenosaires.gob.ar;http://www.buenosaires.gov.ar/areas/cultura/dg_libro;Biblioteca;Ministerio de Cultura - Dirección General del Libro, Bibliotecas y Promoción de la Lectura;General;Estado Municipal;;-58.521;-34.6463668959672
19;Biblioteca José Mármol;PB;;1428;JURAMENTO 2937;Belgrano;Comuna 13;Lunes a Viernes  de 9:00 a 17:00.;4781-7871;biblioteca_marmol@buenosaires.gob.ar;http://www.buenosaires.gov.ar/areas/cultura/dg_libro;Biblioteca;Ministerio de Cultura - Dirección General del Libro, Bibliotecas y Promoción de la Lectura;General;Estado Municipal;;-58.4617;-34.564945207938
20;Biblioteca Julio César Saguier (con anexo infantil);PB;Torre 14;1439;DELLEPIANE, LUIS, TTE. GRAL. 4801;Villa Lugano;Comuna 8;Lunes a Viernes de 10:00 a 17:00.;4635-4009;bibliotecas_saguier@buenosaires.gob.ar;http://www.buenosaires.gov.ar/areas/cultura/dg_libro;Biblioteca;Ministerio de Cultura - Dirección General del Libro, Bibliotecas y Promoción de la Lectura;General;Estado Municipal;;-58.4745;-34.665987007242
21;Biblioteca Julio Cortázar (Anexo Narrativa Moderna);1ro.;;1414;LAVALLEJA 924;Villa Crespo;Comuna 15;Lunes a Viernes de 15:00 a 20:00. Sábados, Domingos y Feriados de 9:00 a 19:00.;5197-5084;biblioteca_cortazar@buenosaires.gov.ar;http://www.buenosaires.gov.ar/areas/cultura/dg_libro;Biblioteca;Ministerio de Cultura - Dirección General del Libro, Bibliotecas y Promoción de la Lectura;General;Estado Municipal;;-58.4298;-34.5978566284475
22;Biblioteca La Prensa;;;1437;PAZ, JOSE C. 3300;Parque Patricios;Comuna 4;Lunes a Viernes de 10:00 a 17:00.;4912-2701;biblioteca_prensa@buenosaires.gob.ar;http://www.buenosaires.gov.ar/areas/cultura/dg_libro;Biblioteca;Ministerio de Cultura - Dirección General del Libro, Bibliotecas y Promoción de la Lectura;General;Estado Municipal;;-58.4082;-34.6448437675338
23;Biblioteca La Reina Batata (Biblioteca Infantil);;;1426;11 DE SEPTIEMBRE DE 1888 y LA PAMPA;Belgrano;Comuna 13;Lunes a Viernes de 10:00 a 17:00.;4783-7654;biblioteca_reinabatata@buenosaire.gob.ar;http://www.buenosaires.gov.ar/areas/cultura/dg_libro;Biblioteca;Ministerio de Cultura - Dirección General del Libro, Bibliotecas y Promoción de la Lectura;Niños;Estado Municipal;;-58.4486;-34.5611103715865
24;Biblioteca Leopoldo Lugones;PB;;1428;LA PAMPA 2215;Belgrano;Comuna 13;Lunes a Viernes de 10:00 a 17:00.;4783-1567;biblioteca_lugones@buenosaires.gob.ar;http://www.buenosaires.gov.ar/areas/cultura/dg_libro;Biblioteca;Ministerio de Cultura - Dirección General del Libro, Bibliotecas y Promoción de la Lectura;General;Estado Municipal;;-58.4526;-34.5638388605262
25;Biblioteca Manuel Gálvez;PB;;1055;CORDOBA AV. 1558;San Nicolas;Comuna 1;Lunes  a Viernes de 8:00 a 20:00.;4812-4723;biblioteca_galvez@buenosaires.gob.ar;http://www.buenosaires.gov.ar/areas/cultura/dg_libro;Biblioteca;Ministerio de Cultura - Dirección General del Libro, Bibliotecas y Promoción de la Lectura;General;Estado Municipal;;-58.3891;-34.5994921224407
26;Biblioteca Mariano Pellizza;;;1406;CRANWELL 819;Flores;Comuna 7;Lunes a Viernes de 10:00 a 17:00.;4631-0961;biblioteca_pelliza@buenosaires.gob.ar;http://www.buenosaires.gov.ar/areas/cultura/dg_libro;Biblioteca;Ministerio de Cultura - Dirección General del Libro, Bibliotecas y Promoción de la Lectura;General;Estado Municipal;;-58.4564;-34.6378141566443
27;Biblioteca Martín Del Barco Centenera (con anexo infantil);PB;;1095;VENEZUELA 1538;Monserrat;Comuna 1;Lunes a Viernes de 8:00 a 19:00.;4381-1271;biblioteca_centenera@buenosaires.gob.ar;http://www.buenosaires.gov.ar/areas/cultura/dg_libro;Biblioteca;Ministerio de Cultura - Dirección General del Libro, Bibliotecas y Promoción de la Lectura;General;Estado Municipal;;-58.3882;-34.6147411115383
28;Biblioteca Miguel Cané (con anexo infantil);PB;;1230;CALVO, CARLOS AV. 4319;Boedo;Comuna 5;Lunes a Viernes de 9:00 a 19:00.;4922-0020;biblioteca_cane@buenosaires.gob.ar;http://www.buenosaires.gov.ar/areas/cultura/dg_libro;Biblioteca;Ministerio de Cultura - Dirección General del Libro, Bibliotecas y Promoción de la Lectura;General;Estado Municipal;;-58.4263;-34.625014018435
29;Biblioteca Norah Lange;;;1439;FERNANDEZ DE LA CRUZ, F., GRAL. AV. y ESCALADA AV.;Villa Soldati;Comuna 8;Sábados, Domingos y Feriados de 10:00 a 18:00.;;;http://www.buenosaires.gov.ar/areas/cultura/dg_libro;Biblioteca;Ministerio de Cultura - Dirección General del Libro, Bibliotecas y Promoción de la Lectura;General;Estado Municipal;;-58.4511;-34.6716910031285
30;Biblioteca Rafael Obligado;PB;;1416;CRAINQUEVILLE 2233;Villa Santa Rita;Comuna 11;Lunes a Viernes de 10.00 a 17:00.;4581-8640;biblioteca_obligado@buenosaires.gob.ar;http://www.buenosaires.gov.ar/areas/cultura/dg_libro;Biblioteca;Ministerio de Cultura - Dirección General del Libro, Bibliotecas y Promoción de la Lectura;General;Estado Municipal;;-58.4839;-34.6095817221886
31;Biblioteca Ricardo Güiraldes;PB;;1014;TALCAHUANO 1261;Retiro;Comuna 1;Lunes a Viernes de 9:00 a 19:00.;4812-3118, interno: 110;biblioteca_guiraldes@buenosaires.gob.ar;http://www.buenosaires.gov.ar/areas/cultura/dg_libro;Biblioteca;Ministerio de Cultura - Dirección General del Libro, Bibliotecas y Promoción de la Lectura;General;Estado Municipal;;-58.3859;-34.5936417082848
32;Casa de la Lectura - Espacio Cultural;;;1414;LAVALLEJA 924;Villa Crespo;Comuna 15;Lunes a Viernes de 10:00 a 20:00.;5197-5476;casadelalectura@gmail.com;http://www.buenosaires.gov.ar/areas/cultura/dg_libro;Biblioteca;Ministerio de Cultura - Dirección General del Libro, Bibliotecas y Promoción de la Lectura;General;Estado Municipal;;-58.4298;-34.5978887118709
33;Mediateca del Patrimonio Cultural;PB;;1084;DE MAYO AV. 575;Monserrat;Comuna 1;Lunes a Viernes de 10:00 a 17:00.;4323-9400, interno: 2714;mediateca_mc@buenosaire.gob.ar;http://www.buenosaires.gov.ar/areas/cultura/dg_libro;Biblioteca;Ministerio de Cultura - Dirección General del Libro, Bibliotecas y Promoción de la Lectura;General;Estado Municipal;;-58.3744;-34.6084889167184
34;Casa de la Cultura;;;1084;DE MAYO AV. 575;Monserrat;Comuna 1;Martes a Domingos de 14:00 a 20:00.;4323-9669;subsecpatrimoniocultural@buenosaires.gob.ar;http://www.buenosaires.gov.ar/areas/cultura/casa_cultura/;Centro Cultural;Ministerio de Cultura - Subsecretaría de Patrimonio Cultural;General;Estado Municipal;Sala de Exposición||Espacio de Formación (Carreras, Seminarios y Talleres)||Espacio Escénico (Teatro, Música y Danza);-58.3744;-34.6084889167184
35;Centro Cultural Alberto Olmedo;PB;;1416;VIALE, LUIS 1052;Caballito;Comuna 6;Lunes a Viernes de 17:00 a 22:00.;4581-8369;ccalbertoolmedo@hotmail.com;http://www.buenosaires.gob.ar/areas/cultura/cen_culturales/prog_barrios.php;Centro Cultural;Ministerio de Cultura - Dirección General de Promoción Cultural;General;Estado Municipal;Sala de Exposición||Espacio Escénico (Teatro, Música y Danza)||Espacio de Formación (Carreras, Seminarios y Talleres)||Centro Cultural;-58.4533;-34.6081745191008
36;Centro Cultural Alfonsina Storni;PB;;1189;TUCUMAN 3233;Balvanera;Comuna 3;Lunes a Viernes de 18:00 a 21:00.;4862-1275;ccalfonsinastorni@hotmail.com;http://www.buenosaires.gob.ar/areas/cultura/cen_culturales/prog_barrios.php;Centro Cultural;Ministerio de Cultura - Dirección General de Promoción Cultural;General;Estado Municipal;Espacio de Formación (Carreras, Seminarios y Talleres);-58.4116;-34.6003282496437
37;Centro Cultural Baldomero Fernández Moreno;PB;;1407;MERCEDES 1405;Floresta;Comuna 10;Lunes a Viernes de 17:00 a 22:00.;4566-3743;ccbaldomerofernandezmoreno@yahoo.com.ar;http://www.buenosaires.gob.ar/areas/cultura/cen_culturales/prog_barrios.php;Centro Cultural;Ministerio de Cultura - Dirección General de Promoción Cultural;General;Estado Municipal;Espacio de Formación (Carreras, Seminarios y Talleres);-58.4923;-34.6215545186644
38;Centro Cultural General San Martín;;;1042;SARMIENTO 1551;San Nicolas;Comuna 1;Lunes a Viernes de 10:00 a 21:00.;4374-1251 al 59;ccgsm@buenosaires.gob.ar;http://www.centroculturalsanmartin.com;Centro Cultural;Ministerio de Cultura - Centro Cultural General San Martín;General;Estado Municipal;Espacio Escénico (Teatro, Música y Danza)||Sala de Exposición||Espacio de Formación (Carreras, Seminarios y Talleres)||Cine;-58.3886;-34.6053725229777
39;Centro Cultural Nuestra Tierra;PB;;1437;IRIARTE, GRAL. AV. y MONTESQUIEU;Barracas;Comuna 4;Lunes a Viernes de 18:00 a 21:00.;4302-4324;luisaboggi@yahoo.com.ar;www.buenosaires.gob.ar/areas/cultura/cen_culturales/prog_barrios.php;Centro Cultural;Ministerio de Cultura - Dirección General de Promoción Cultural;General;Estado Municipal;Espacio de Formación (Carreras, Seminarios y Talleres);-58.3966;-34.6514338149718
40;Centro Cultural Recoleta;;;1113;JUNIN 1930;Recoleta;Comuna 2;Lunes a Viernes de 14:00 a 21:00. Sábados y Domingos de 10:00 a 21:00.;4803-1040;info@centrocultural.org;http://www.centroculturalrecoleta.org;Centro Cultural;Ministerio de Cultura - Ministerio de Cultura;General;Estado Municipal;Espacio de Formación (Carreras, Seminarios y Talleres)||Sala de Exposición||Archivo||Biblioteca||Cine||Espacio Escénico (Teatro, Música y Danza);-58.3916;-34.5864979374303
41;Centro Cultural Tato Bores;;;1425;SOLER 3929;Palermo;Comuna 14;Lunes a Viernes de 17:30 a 21:30.;4824-6364;centroculturaltatobores@yahoo.com.ar;http://www.buenosaires.gob.ar/areas/cultura/cen_culturales/prog_barrios.php;Centro Cultural;Ministerio de Cultura - Dirección General de Promoción Cultural;General;Estado Municipal;Espacio de Formación (Carreras, Seminarios y Talleres);-58.4173;-34.591855641692
42;Complejo Cultural Chacra de los Remedios;PB;;1407;DIRECTORIO AV. y LACARRA;Parque Avellaneda;Comuna 9;Martes a Viernes de 14:00 a 20:00. Sábados, Domingo y Feriados de 11:00 a 20:00.;4636-0754 // 4672-1790;chacradelosremedios@buenosaires.gov.ar;http://www.buenosaires.gob.ar/areas/cultura/prom_cultural/cculturales/remedios.php;Centro Cultural;Ministerio de Cultura - Dirección General de Promoción Cultural;General;Estado Municipal;Espacio Escénico (Teatro, Música y Danza)||Sala de Exposición||Milonga y/o Tanguería||Espacio de Formación (Carreras, Seminarios y Talleres)||Cine;-58.4799;-34.6413032152403
43;La Vidriera de la DGEArt;PB;;1067;PERU 374;Monserrat;Comuna 1;Lunes a Sábados de 10:00 a 20:00.;4342-9416 // 4342-8487;dgeartextension@buenosaires.gob.ar;http://www.buenosaires.gov.ar/areas/cultura/dg_ens_art/vidriera_dgeart.php;Centro Cultural;Ministerio de Cultura - Dirección General de Enseñanza Artística;General;Estado Municipal;Sala de Exposición;-58.3747;-34.6122541371441
44;Usina del Arte;;;1157;DON PEDRO DE MENDOZA AV. y CAFFARENA, AGUSTIN R.;Boca;Comuna 4;;;usinadelartebsas@gmail.com;;Centro Cultural;Ministerio de Cultura - Usina del Arte;General;Estado Municipal;Sala de Exposición||Espacio Escénico (Teatro, Música y Danza);-58.356;-34.6286530354147
45;Centro Cultural Adán Buenos Ayres;;;1406;ASAMBLEA AV. 1200;Parque Chacabuco;Comuna 7;Lunes a Viernes de 10:00 a 20:00.;4923-5876;ccadanbuenosayres@buenosaires.gob.ar;http://www.buenosaires.gob.ar/areas/cultura/prom_cultural/cculturales/buenosayres.php;Centro Cultural;Ministerio de Cultura - Dirección General de Promoción Cultural;General;Estado Municipal;Espacio Escénico (Teatro, Música y Danza)||Bar Cultural||Espacio de Formación (Carreras, Seminarios y Talleres)||Sala de Exposición;-58.4417;-34.6359223993493
46;Centro Cultural Aníbal Troilo;;;1414;GORRITI 5740;Palermo;Comuna 14;Lunes a Viernes de 17:00 a 22:00.;4771-6292;culturalanibaltroilo@hotmail.com;http://www.buenosaires.gob.ar/areas/cultura/cen_culturales/prog_barrios.php;Centro Cultural;Ministerio de Cultura - Dirección General de Promoción Cultural;General;Estado Municipal;Espacio de Formación (Carreras, Seminarios y Talleres);-58.4388;-34.5838045713053
47;Centro Cultural Artes de Parque Chacabuco;;;1424;CACHIMAYO 1657;Parque Chacabuco;Comuna 7;Lunes a Viernes de 17:30 a 21:30.;4921-5445;artes.centrocultural@gmail.com;http://www.buenosaires.gob.ar/areas/cultura/cen_culturales/prog_barrios.php;Centro Cultural;Ministerio de Cultura - Dirección General de Promoción Cultural;General;Estado Municipal;Espacio de Formación (Carreras, Seminarios y Talleres);-58.4361;-34.6383084156672
48;Centro Cultural Barrio Copello;;;1439;DELLEPIANE, LUIS, TTE. GRAL. 4900;Villa Lugano;Comuna 8;Lunes a Viernes de 17:30 a 21:30.;4602-4740;centroculturalcopello@hotmail.com;http://www.buenosaires.gob.ar/areas/cultura/cen_culturales/prog_barrios.php;Centro Cultural;Ministerio de Cultura - Dirección General de Promoción Cultural;General;Estado Municipal;Espacio de Formación (Carreras, Seminarios y Talleres);-58.4735;-34.6665477485999
49;Centro Cultural Barrio Rivadavia;PB;;1406;COBO AV. y CURAPALIGUE;Flores;Comuna 7;Lunes a Jueves de 17:00 a 22:00. Sábados de 14:00 a 18:00.;4632-9683;centrocultural_barriorivadavia@hotmail.com;http://www.buenosaires.gob.ar/areas/cultura/cen_culturales/prog_barrios.php;Centro Cultural;Ministerio de Cultura - Dirección General de Promoción Cultural;General;Estado Municipal;Espacio de Formación (Carreras, Seminarios y Talleres);-58.4415;-34.6435785017086
50;Centro Cultural Belgrano R.;PB;;1430;LA PAMPA 3855;Villa Urquiza;Comuna 12;Lunes a Viernes de 17:30 a 21:30.;4552-0867;ccbelgrano@hotmail.com;http://www.buenosaires.gob.ar/areas/cultura/cen_culturales/prog_barrios.php;Centro Cultural;Ministerio de Cultura - Dirección General de Promoción Cultural;General;Estado Municipal;Milonga y/o Tanguería||Espacio Escénico (Teatro, Música y Danza)||Espacio de Formación (Carreras, Seminarios y Talleres);-58.4686;-34.5731538834577
51;Centro Cultural Boedo;;;1217;CASTRO 954;Boedo;Comuna 5;Lunes a Viernes de 18:00 a 21:00.;4931-1524;ccboedo@hotmail.com;http://www.buenosaires.gob.ar/areas/cultura/cen_culturales/prog_barrios.php;Centro Cultural;Ministerio de Cultura - Dirección General de Promoción Cultural;General;Estado Municipal;Espacio de Formación (Carreras, Seminarios y Talleres);-58.4205;-34.6238427716953
52;Centro Cultural CEPNA (Centro de Estudios y Proyectos Nueva Argentina);PB;;1439;MURGUIONDO 4361;Villa Lugano;Comuna 8;Lunes a Viernes de 9:30 a 21:00. Sábados de 10:00 a 19.30.;4638-2517;cccepna@yahoo.com.ar;http://www.buenosaires.gob.ar/areas/cultura/cen_culturales/prog_barrios.php;Centro Cultural;Ministerio de Cultura - Dirección General de Promoción Cultural;General;Estado Municipal;Milonga y/o Tanguería||Espacio de Formación (Carreras, Seminarios y Talleres)||Sala de Exposición;-58.474;-34.6783536647947
53;Centro Cultural Colegiales;PB;;1427;CONDE 943;Colegiales;Comuna 13;Lunes a Viernes de 18:00 a 21:00.;4552-1228;cccolegiales@hotmail.com;http://www.buenosaires.gob.ar/areas/cultura/cen_culturales/prog_barrios.php;Centro Cultural;Ministerio de Cultura - Dirección General de Promoción Cultural;General;Estado Municipal;Archivo||Sala de Exposición||Milonga y/o Tanguería||Espacio de Formación (Carreras, Seminarios y Talleres)||Espacio Escénico (Teatro, Música y Danza);-58.4523;-34.5765413156669
54;Centro Cultural Del Bajo Flores;;;1437;RIESTRA AV. 1650;Nueva Pompeya;Comuna 4;Martes a Viernes de 17:30 a 21:30. Y Sábados de 10:30 a 16:30.;4921-7731;ccdelbajoflores@hotmail.com;http://www.buenosaires.gob.ar/areas/cultura/cen_culturales/prog_barrios.php;Centro Cultural;Ministerio de Cultura - Dirección General de Promoción Cultural;General;Estado Municipal;Espacio de Formación (Carreras, Seminarios y Talleres)||Espacio Escénico (Teatro, Música y Danza)||Bar Cultural;-58.4328;-34.6453916835792
55;Centro Cultural Del Sur;;;1152;CASEROS AV. 1750;Barracas;Comuna 4;Martes a Domingos de 13:00 a 20:00.;4306-0301 // 4305-6653;ccculturalsur@buenosaires.gob.ar;http://www.buenosaires.gob.ar/areas/cultura/prom_cultural/cculturales/del_sur.php;Centro Cultural;Ministerio de Cultura - Dirección General de Promoción Cultural;General;Estado Municipal;Sala de Exposición||Espacio Escénico (Teatro, Música y Danza)||Peña||Milonga y/o Tanguería||Espacio de Formación (Carreras, Seminarios y Talleres)||Biblioteca||Cine;-58.3868;-34.6333154869631
56;Centro Cultural Devoto;;;1419;NUEVA YORK 4169;Villa Devoto;Comuna 11;Lunes a Jueves de 17:00 a 22:00. Sábados de 10:00 a 14:00.;4501-0449 // 4502-2684;ccdevotovilladelparque@hotmail.com;http://www.buenosaires.gob.ar/areas/cultura/cen_culturales/prog_barrios.php;Centro Cultural;Ministerio de Cultura - Dirección General de Promoción Cultural;General;Estado Municipal;Espacio de Formación (Carreras, Seminarios y Talleres);-58.5133;-34.6011662447662
57;Centro Cultural Discepolín;;;1430;TRONADOR 4134;Saavedra;Comuna 12;Martes a Viernes de 16:30 a 21:30. Sábado de 10:00 a 14:00.;4541-6001;ccdiscepolin@yahoo.com.ar;http://www.buenosaires.gob.ar/areas/cultura/cen_culturales/prog_barrios.php;Centro Cultural;Ministerio de Cultura - Dirección General de Promoción Cultural;General;Estado Municipal;Milonga y/o Tanguería||Espacio de Formación (Carreras, Seminarios y Talleres)||Peña;-58.4868;-34.5527021269391
58;Centro Cultural El Eternauta;;;1405;LOBOS, ELEODORO, Dr. 437;Caballito;Comuna 6;Lunes a Viernes de 17:30 a 21:30.;4982-9706;cceleternauta@yahoo.com.ar;http://www.buenosaires.gob.ar/areas/cultura/cen_culturales/prog_barrios.php;Centro Cultural;Ministerio de Cultura - Dirección General de Promoción Cultural;General;Estado Municipal;Espacio Escénico (Teatro, Música y Danza)||Bar Cultural||Sala de Exposición||Peña||Espacio de Formación (Carreras, Seminarios y Talleres);-58.4363;-34.6128433348679
59;Centro Cultural El Taller;PB;;1407;GONZALEZ, ELPIDIO 4967;Monte Castro;Comuna 10;Lunes de 16:00 a 21:00.;;cceltaller@gmail.com;http://www.buenosaires.gob.ar/areas/cultura/cen_culturales/prog_barrios.php;Centro Cultural;Ministerio de Cultura - Dirección General de Promoción Cultural;General;Estado Municipal;Espacio de Formación (Carreras, Seminarios y Talleres);-58.5053;-34.6239828916532
60;Centro Cultural Eladia Blázquez;;;1437;RABANAL, FRANCISCO, INTENDENTE AV. 2275;Villa Soldati;Comuna 8;Lunes a Viernes de 17:30 a 21:30.;4918-4803;cceladiablazquez@hotmail.com;http://www.buenosaires.gob.ar/areas/cultura/cen_culturales/prog_barrios.php;Centro Cultural;Ministerio de Cultura - Dirección General de Promoción Cultural;General;Estado Municipal;Espacio de Formación (Carreras, Seminarios y Talleres);-58.4289;-34.6595953497779
61;Centro Cultural Elías Castelnuovo;;;1408;MONTIEL 1041;Liniers;Comuna 9;Lunes a Viernes de 17:30 a 21:30.;4641-3921;centroculturaldeliniers@yahoo.com.ar;http://www.buenosaires.gob.ar/areas/cultura/cen_culturales/prog_barrios.php;Centro Cultural;Ministerio de Cultura - Dirección General de Promoción Cultural;General;Estado Municipal;Bar Cultural||Espacio de Formación (Carreras, Seminarios y Talleres);-58.5257;-34.65068503337
